run,draft_model_name,max_budget,gen_rate,speed,draft_iters,iters,input_0,input_1,mem_use,min_CLP,min_log_prob,new_tokens,prompt_len,t0,t1,tft,tree_h,tree_size,tree_w
6,Qwen/Qwen2.5-3B,1024,11.7,0.85,30.7,3,5427,1025,53.24,-7.38,,35,655,11.42,2.3667,16.178,18.7,1024,132
7,Qwen/Qwen2.5-0.5B,16,4.6,5.5,7.6,7,42,17,38.98,-3.0,,32,1022,0.5157,0.3129,2.8567,6.6,16,4
7,Qwen/Qwen2.5-0.5B,32,5.5,5.96,8.7,6,91,33,39.07,-3.97,,33,1022,0.5883,0.3333,2.9189,7.7,32,7
7,Qwen/Qwen2.5-0.5B,64,6.2,5.44,11.0,6,163,65,39.26,-4.64,,37,1022,0.755,0.3783,3.145,10.0,64,14
7,Qwen/Qwen2.5-0.5B,128,11.7,6.6,15.3,3,443,129,39.64,-5.35,,35,1022,1.09,0.68,3.2635,14.3,128,23
7,Qwen/Qwen2.5-0.5B,256,8.2,4.25,13.8,4,698,257,40.39,-5.93,,33,1022,1.0325,0.9075,4.1807,12.8,256,43
7,Qwen/Qwen2.5-0.5B,512,5.3,2.43,8.6,7,1140,513,41.89,-8.53,,37,1022,0.7057,1.4743,4.1537,6.4,512,239
7,Qwen/Qwen2.5-0.5B,1024,11.0,2.24,27.0,3,3996,1025,44.91,-7.47,,33,1022,2.35,2.5633,6.8577,18.3,1024,124
7,Qwen/Qwen2.5-0.5B,2048,8.8,0.94,32.0,4,7711,2049,50.94,-8.63,,35,1022,3.1475,6.155,14.1212,10.0,2048,337
7,Qwen/Qwen2.5-1.5B,16,7.4,7.1,8.8,5,49,17,46.05,-2.69,,37,1022,0.734,0.308,3.8148,7.8,16,3
7,Qwen/Qwen2.5-1.5B,32,6.7,5.21,11.5,6,101,33,46.14,-3.56,,40,1022,0.9583,0.32,3.9491,10.5,32,5
7,Qwen/Qwen2.5-1.5B,64,7.6,4.7,14.2,5,209,65,46.33,-4.4,,38,1022,1.262,0.354,4.3351,13.2,64,9
7,Qwen/Qwen2.5-1.5B,128,7.6,3.26,14.4,5,444,129,46.71,-5.01,,38,1022,1.668,0.662,4.6808,13.4,128,19
7,Qwen/Qwen2.5-1.5B,256,10.0,3.09,16.5,4,937,257,47.47,-6.02,,40,1022,2.3175,0.915,5.7516,15.5,256,35
7,Qwen/Qwen2.5-1.5B,512,7.8,2.51,10.0,6,1270,513,48.97,-9.71,,47,1022,1.645,1.475,5.4653,7.8,512,224
7,Qwen/Qwen2.5-1.5B,1024,14.7,1.78,29.7,3,5010,1025,52.01,-7.25,,44,1022,5.7767,2.47,10.6848,19.3,1024,105
